IP地址	地区码	地区	延迟(ms)	下载速度(MB/s)	端口	测速类型
162.159.22.75	SIN	新加坡	0.49	20.54	443	地区测速
172.64.33.45	SIN	新加坡	1.26	18.97	443	地区测速
162.159.5.159	SIN	新加坡	1.55	17.2	443	地区测速
162.159.20.21	SIN	新加坡	0.71	16.57	443	地区测速
162.159.41.145	SIN	新加坡	1.44	16.14	443	地区测速
162.159.43.96	SIN	新加坡	0.58	15.88	443	地区测速
172.64.38.172	SIN	新加坡	1.32	13.23	443	地区测速
172.64.151.57	SIN	新加坡	43.82	19.21	443	地区测速
172.64.154.106	SIN	新加坡	43.65	19.14	443	地区测速
162.159.35.33	SIN	新加坡	38.69	19.07	443	地区测速
172.64.156.160	SIN	新加坡	43.55	17.65	443	地区测速
172.64.153.117	SIN	新加坡	43.75	17.56	443	地区测速
172.64.158.4	SIN	新加坡	43.41	16.84	443	地区测速
172.64.152.54	SIN	新加坡	43.76	16.36	443	地区测速

